                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98706,                0.51545,                 1.0431,                0.99602,                      1,                  0.995,                0.66495,                 1.1801,                0.51173,                 1.1105,              0.0018654,              0.0018654,              0.0018654
                     36,                0.97592,                0.51858,                 1.0264,                0.99752,                      1,                  0.995,                0.71949,                 1.1364,                0.47347,                 1.0788,              0.0018614,              0.0018614,              0.0018614
                     37,                0.96459,                 0.4943,                  1.028,                0.99794,                      1,                  0.995,                0.67912,                 1.1654,                0.47451,                 1.0959,              0.0018574,              0.0018574,              0.0018574
                     38,                0.97801,                 0.5005,                 1.0303,                0.99882,                      1,                  0.995,                0.69723,                 1.1166,                0.46391,                 1.0592,              0.0018535,              0.0018535,              0.0018535
                     39,                0.96248,                0.50233,                 1.0205,                0.98019,                      1,                0.99373,                0.68208,                 1.1253,                0.48675,                 1.0801,              0.0018495,              0.0018495,              0.0018495
                     40,                0.94497,                0.49515,                 1.0314,                0.99784,                0.96296,                0.98785,                0.68659,                 1.2082,                0.51298,                 1.0935,              0.0018456,              0.0018456,              0.0018456
                     41,                0.93393,                0.48221,                 1.0323,                0.99945,                      1,                  0.995,                0.71403,                 1.1465,                0.47304,                 1.0751,              0.0018416,              0.0018416,              0.0018416
                     42,                  0.994,                0.50522,                 1.0424,                0.98109,                0.92593,                 0.9822,                 0.6644,                 1.2268,                0.54227,                  1.107,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.0243,                0.52095,                 1.0652,                      1,                0.99778,                  0.995,                0.71619,                 1.0851,                0.45961,                 1.0547,              0.0018337,              0.0018337,              0.0018337
                     44,                 0.9612,                  0.496,                 1.0364,                0.99461,                0.94444,                0.98005,                0.64002,                 1.2588,                0.56613,                 1.1192,              0.0018297,              0.0018297,              0.0018297
                     45,                0.93582,                0.48089,                  1.023,                      1,                0.99933,                  0.995,                0.66205,                 1.2604,                0.51332,                 1.1254,              0.0018258,              0.0018258,              0.0018258
                     46,                0.95691,                0.49136,                 1.0245,                0.99575,                      1,                  0.995,                0.68437,                 1.2232,                0.49307,                 1.1225,              0.0018218,              0.0018218,              0.0018218
                     47,                0.92693,                0.48615,                 1.0181,                0.99771,                      1,                  0.995,                0.67333,                 1.2285,                0.50347,                   1.14,              0.0018178,              0.0018178,              0.0018178
                     48,                 0.9459,                0.48891,                 1.0264,                0.99884,                      1,                  0.995,                0.67529,                  1.144,                0.49122,                 1.0747,              0.0018139,              0.0018139,              0.0018139
                     49,                 0.9278,                0.47155,                 1.0145,                0.97887,                0.96296,                0.98547,                0.69507,                  1.211,                0.56038,                 1.0967,              0.0018099,              0.0018099,              0.0018099
                     50,                 0.9627,                0.48327,                 1.0356,                0.99731,                      1,                  0.995,                0.72107,                 1.1645,                0.45849,                 1.0815,               0.001806,               0.001806,               0.001806
                     51,                0.91847,                0.46052,                 1.0202,                0.99856,                      1,                  0.995,                 0.6729,                 1.1761,                0.48819,                 1.0891,               0.001802,               0.001802,               0.001802
                     52,                0.97347,                0.48688,                 1.0318,                      1,                0.99863,                  0.995,                0.69676,                 1.2122,                 0.4832,                 1.1146,               0.001798,               0.001798,               0.001798
