                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.75124,                0.37662,                0.95143,                0.99816,                      1,                  0.995,                  0.723,                  1.119,                0.40695,                 1.0842,              0.0013902,              0.0013902,              0.0013902
                    156,                0.74879,                0.37416,                0.95647,                0.99989,                      1,                  0.995,                 0.7431,                 1.0755,                0.39908,                 1.0666,              0.0013862,              0.0013862,              0.0013862
                    157,                0.74529,                0.37221,                0.93829,                0.99893,                      1,                  0.995,                0.74415,                  1.122,                0.40014,                 1.0936,              0.0013822,              0.0013822,              0.0013822
                    158,                0.75095,                0.37242,                0.94481,                0.99905,                      1,                  0.995,                0.73678,                 1.1113,                0.39393,                 1.0833,              0.0013783,              0.0013783,              0.0013783
                    159,                0.73408,                0.36609,                0.93392,                0.99874,                      1,                  0.995,                0.72066,                 1.1905,                0.39673,                 1.1145,              0.0013743,              0.0013743,              0.0013743
                    160,                0.72661,                0.36512,                0.93841,                0.99876,                      1,                  0.995,                0.72708,                 1.1117,                0.41172,                 1.0747,              0.0013704,              0.0013704,              0.0013704
                    161,                 0.7514,                0.37495,                0.95958,                0.99883,                      1,                  0.995,                0.73831,                 1.1148,                0.40361,                 1.0734,              0.0013664,              0.0013664,              0.0013664
                    162,                0.73707,                 0.3638,                0.93462,                0.99899,                      1,                  0.995,                0.73771,                 1.1397,                 0.4044,                 1.0636,              0.0013624,              0.0013624,              0.0013624
                    163,                0.75111,                0.37183,                0.93685,                      1,                0.99935,                  0.995,                0.71595,                 1.1268,                0.40451,                 1.0602,              0.0013585,              0.0013585,              0.0013585
                    164,                0.70513,                0.34758,                0.91514,                      1,                0.99932,                  0.995,                0.71589,                 1.0912,                0.39025,                 1.0469,              0.0013545,              0.0013545,              0.0013545
                    165,                0.73026,                0.36755,                0.93794,                0.99863,                      1,                  0.995,                 0.7424,                 1.1262,                 0.4145,                  1.074,              0.0013506,              0.0013506,              0.0013506
                    166,                0.73717,                0.36415,                0.94446,                      1,                0.99939,                  0.995,                0.72526,                 1.1901,                0.42545,                 1.1152,              0.0013466,              0.0013466,              0.0013466
                    167,                 0.7677,                0.37649,                0.96067,                      1,                0.99902,                  0.995,                0.72528,                 1.1259,                0.41028,                  1.065,              0.0013426,              0.0013426,              0.0013426
                    168,                0.74759,                0.37656,                0.93994,                0.99899,                      1,                  0.995,                0.70858,                  1.155,                0.42335,                 1.1033,              0.0013387,              0.0013387,              0.0013387
                    169,                0.74945,                0.36653,                0.94504,                0.99864,                      1,                  0.995,                0.73558,                  1.116,                0.39611,                 1.0888,              0.0013347,              0.0013347,              0.0013347
                    170,                0.75436,                0.37443,                0.93781,                 0.9988,                      1,                  0.995,                0.70346,                 1.1076,                0.39594,                 1.0844,              0.0013308,              0.0013308,              0.0013308
                    171,                0.75294,                0.37358,                0.93446,                0.99937,                      1,                  0.995,                0.72148,                 1.1842,                 0.4094,                 1.1123,              0.0013268,              0.0013268,              0.0013268
                    172,                0.72282,                0.36807,                0.93269,                0.99871,                      1,                  0.995,                0.71516,                 1.1492,                0.39742,                 1.1024,              0.0013228,              0.0013228,              0.0013228
                    173,                0.73153,                0.37939,                0.94283,                0.99875,                      1,                  0.995,                0.74488,                 1.1057,                 0.4056,                 1.0672,              0.0013189,              0.0013189,              0.0013189
                    174,                0.73509,                 0.3612,                0.93531,                0.99896,                      1,                  0.995,                0.73585,                 1.0866,                0.38778,                 1.0599,              0.0013149,              0.0013149,              0.0013149
                    175,                 0.7396,                0.36987,                 0.9356,                      1,                0.99925,                  0.995,                0.73849,                 1.0915,                0.37813,                 1.0429,               0.001311,               0.001311,               0.001311
                    176,                0.72463,                0.35745,                0.93072,                      1,                0.99957,                  0.995,                0.70924,                 1.1439,                0.40608,                 1.0754,               0.001307,               0.001307,               0.001307
                    177,                0.73033,                0.36996,                0.94152,                0.99888,                      1,                  0.995,                 0.7439,                 1.0814,                0.38468,                 1.0442,               0.001303,               0.001303,               0.001303
                    178,                0.72809,                0.34794,                0.93431,                 0.9987,                      1,                  0.995,                0.73196,                 1.1157,                 0.3906,                 1.0771,              0.0012991,              0.0012991,              0.0012991
                    179,                0.70589,                0.34809,                0.92365,                0.99849,                      1,                  0.995,                0.73506,                 1.0861,                0.38642,                 1.0557,              0.0012951,              0.0012951,              0.0012951
                    180,                0.70178,                0.34808,                0.93435,                0.99888,                      1,                  0.995,                0.73844,                 1.1408,                0.41107,                  1.094,              0.0012912,              0.0012912,              0.0012912
                    181,                0.69461,                0.36041,                0.92581,                0.99876,                      1,                  0.995,                0.72054,                 1.1495,                0.40449,                 1.0858,              0.0012872,              0.0012872,              0.0012872
                    182,                0.70877,                0.35683,                0.92449,                0.99888,                      1,                  0.995,                0.71704,                  1.135,                0.40214,                 1.0757,              0.0012832,              0.0012832,              0.0012832
                    183,                0.73516,                0.36126,                0.94741,                0.99876,                      1,                  0.995,                0.74167,                 1.1261,                0.40257,                  1.068,              0.0012793,              0.0012793,              0.0012793
                    184,                 0.7246,                0.36147,                0.92235,                0.99872,                      1,                  0.995,                0.72975,                 1.1101,                0.39591,                 1.0447,              0.0012753,              0.0012753,              0.0012753
                    185,                0.73036,                0.37869,                0.92845,                      1,                0.99976,                  0.995,                0.74428,                 1.1267,                0.40486,                 1.0726,              0.0012714,              0.0012714,              0.0012714
                    186,                 0.7015,                0.35513,                0.93161,                0.99865,                0.98148,                0.99482,                0.74111,                 1.1121,                  0.428,                 1.0742,              0.0012674,              0.0012674,              0.0012674
                    187,                0.72908,                0.36526,                0.93859,                0.99878,                      1,                  0.995,                0.73625,                 1.1206,                0.39468,                  1.057,              0.0012634,              0.0012634,              0.0012634
                    188,                 0.7159,                0.35859,                0.91976,                 0.9968,                      1,                  0.995,                0.72327,                  1.115,                0.40322,                 1.0507,              0.0012595,              0.0012595,              0.0012595
                    189,                 0.7192,                0.35448,                0.93545,                0.99864,                      1,                  0.995,                0.74741,                 1.1205,                0.39354,                 1.0564,              0.0012555,              0.0012555,              0.0012555
                    190,                0.69242,                0.34436,                0.91698,                0.99875,                      1,                  0.995,                0.73959,                 1.1033,                0.38895,                 1.0486,              0.0012516,              0.0012516,              0.0012516
                    191,                0.68462,                0.34938,                0.92941,                0.99923,                      1,                  0.995,                0.71372,                 1.1458,                0.40008,                 1.0887,              0.0012476,              0.0012476,              0.0012476
                    192,                0.67883,                0.34079,                0.91219,                0.99918,                      1,                  0.995,                0.74253,                 1.1202,                0.40076,                 1.0707,              0.0012436,              0.0012436,              0.0012436
                    193,                0.67785,                0.34422,                0.90771,                0.99889,                      1,                  0.995,                0.75516,                 1.0831,                0.37131,                 1.0432,              0.0012397,              0.0012397,              0.0012397
                    194,                0.70951,                0.35701,                0.92206,                      1,                0.99989,                  0.995,                0.72205,                 1.1389,                0.40238,                 1.0876,              0.0012357,              0.0012357,              0.0012357
                    195,                0.73042,                0.35975,                0.93458,                 0.9999,                      1,                  0.995,                0.74929,                 1.0964,                0.37903,                 1.0558,              0.0012318,              0.0012318,              0.0012318
                    196,                0.70976,                0.34818,                0.92818,                0.99979,                      1,                  0.995,                0.72826,                 1.1447,                0.39943,                 1.0838,              0.0012278,              0.0012278,              0.0012278
                    197,                0.66029,                0.33678,                0.91456,                0.99792,                      1,                  0.995,                0.72705,                 1.1209,                0.39081,                 1.0669,              0.0012238,              0.0012238,              0.0012238
                    198,                0.70801,                 0.3495,                 0.9219,                0.99863,                      1,                  0.995,                0.73929,                 1.0993,                0.37996,                 1.0434,              0.0012199,              0.0012199,              0.0012199
                    199,                0.74876,                0.36413,                0.93649,                0.99852,                      1,                  0.995,                0.74947,                 1.1112,                0.38929,                 1.0596,              0.0012159,              0.0012159,              0.0012159
                    200,                0.69214,                0.35115,                0.92509,                0.99847,                      1,                  0.995,                0.74421,                 1.0833,                0.40074,                  1.054,               0.001212,               0.001212,               0.001212
                    201,                0.68075,                0.34791,                0.91712,                0.99807,                      1,                  0.995,                0.73743,                 1.1334,                0.39532,                 1.0765,               0.001208,               0.001208,               0.001208
                    202,                0.69109,                0.34738,                0.91502,                0.99853,                      1,                  0.995,                0.71651,                 1.1377,                0.38448,                 1.0811,               0.001204,               0.001204,               0.001204
                    203,                 0.7121,                0.35205,                0.92598,                0.99881,                      1,                  0.995,                0.71572,                 1.1582,                0.40657,                 1.0773,              0.0012001,              0.0012001,              0.0012001
                    204,                 0.6824,                0.34177,                0.91891,                0.99901,                      1,                  0.995,                0.72279,                 1.1211,                0.37605,                 1.0539,              0.0011961,              0.0011961,              0.0011961
                    205,                0.70468,                0.35705,                0.91189,                      1,                0.99973,                  0.995,                0.73709,                 1.1357,                0.39911,                 1.0577,              0.0011922,              0.0011922,              0.0011922
                    206,                0.72348,                0.36062,                0.91103,                0.99955,                      1,                  0.995,                0.74686,                 1.1012,                0.37427,                 1.0471,              0.0011882,              0.0011882,              0.0011882
                    207,                0.69457,                0.33702,                0.91148,                0.99854,                      1,                  0.995,                0.72424,                 1.1372,                0.38767,                 1.0782,              0.0011842,              0.0011842,              0.0011842
                    208,                0.68075,                0.34212,                0.91118,                0.99813,                      1,                  0.995,                0.74587,                 1.0958,                 0.3827,                 1.0674,              0.0011803,              0.0011803,              0.0011803
                    209,                0.67388,                 0.3407,                 0.9056,                0.99869,                      1,                  0.995,                0.73755,                 1.1102,                0.39475,                 1.0705,              0.0011763,              0.0011763,              0.0011763
                    210,                0.65153,                0.32626,                0.90684,                0.99883,                      1,                  0.995,                0.74521,                 1.0562,                0.37653,                 1.0348,              0.0011724,              0.0011724,              0.0011724
